"filename", "language", "Markdown", "HTML", "YAML", "Swift", "JSON", "Dart", "C++", "XML", "CMake", "Properties", "comment", "blank", "total"
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\models\folder.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 6, 19
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\models\folder.g.dart", "Dart", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 4, 8, 47
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\models\learning_card.dart", "Dart", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\models\save_cards.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 12, 46
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\models\save_cards.g.dart", "Dart", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 4, 8, 66
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\models\save_theme.dart", "Dart", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\models\save_theme.g.dart", "Dart", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 4, 13, 89
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\navigation\main_navigation.dart", "Dart", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 3, 9, 97
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\providers\app_provider.dart", "Dart", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 2, 7, 53
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\providers\app_theme.dart", "Dart", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 7, 25
